data,score,rating,bug_report,feature_request,user_experience
Cool,5,1,0,0,0
"la mise a jour n'affiche plus le parcours,le choix de l'activité est tres difficile a trouver dans l'appli",2,0,0,1,0
Il n'y a plus le paramètre gestion de poids...,1,0,0,1,0
Super 👌,5,1,0,0,0
Super cool ça m'aide franchement,5,1,0,0,0
"C'était cool, jusqu'à ce que l'application ne démarre plus et que je perde 
tout mon historique 😣",4,1,1,0,0
Très bonne application,4,1,0,0,0
magnifique j'adore m'entraîner avec,4,1,0,0,1
Satisfaite,4,1,0,0,0
Bien,5,1,0,0,0
"Perte de poids supprimé depuis dernière maj, très dommage c'était très pratique et m'en servais essentiellement pour ça. Reste plus qu'à trouver une autre appli.",2,0,0,1,0
Meilleure et excellente App.merci Mr le developpeur,5,1,0,0,0
Super application depuis la grosse mise à jour !!,5,1,0,0,0
J aime bien,4,1,0,0,0
Très bonne appli,5,1,0,0,0
Nul,1,1,0,0,0
superbe c gratos méticuleux bien détaillé et ça a vraiment été un compagnon appréciable durant ma perte de poids de 20kg à chaque fois de nouveau defits de plus plus évolutifs par rapport à votre niveau,5,1,0,0,1
Vous devriez rajouter une catégorie pour la consommation d'alcool,4,0,0,1,0
Dommage que vous avez enlever les récapitulatif mensuel pour le poids j'ai pas du tout les récapitulatif hebdomadaire 😢,4,0,0,1,0
Appli simple mais complète. Pas ennuyeuse et très motivante. J'adore,5,1,0,0,0
Bien,4,1,0,0,0
Super,5,1,0,0,0
C'est une bonne motivation sportive et diététique,5,0,0,0,1
Bien,5,1,0,0,0
Bien sympa et motivant 👍👍👍,5,1,0,0,0
"Très contente pour le moment de cette appli. Le seul regret est de ne pas 
pouvoir basculer les vidéos d'exercices sur l'écran de télévision.",4,1,0,1,0
Super application rend bien service,5,1,0,0,0
Pourquoi sur certaines activités comme football le GPS n est pas activé...,1,0,0,1,0
"Une aide précieuse, devient vite indispensable! Très bonne application qui motive vraiment à prendre sa santé en mains. Des améliorations pourraient encore être faites, par exemple: reporter la qualité du sommeil au moyen de codes couleurs sur le graphique hebdomadaire et, pourquoi pas, ajouter un endroit de type journal pour y inscrire ses commentaires personnels concernant le déroulement de la journée. Peut-être lors d'une prochaine mise à jour?",4,1,0,1,1
pratique,5,1,0,0,0
Très bonne expérience,5,1,0,0,0
"Je n'ai plus accès à l'application, même après avoir autorisé l'accès à tous les paramètres",1,0,1,0,0
C'est genial je suis mes activites regulierement grace a cette app Merci infiniment,5,1,0,0,1
Merci Samsung,5,1,0,0,0
Dommage que l'on puisse pas voir combien de kilomètres on fait en 1 semaine car prendre la calculatrice à chaque c'est contraignant,4,0,0,1,0
Afin dalerter le concepteur je baisse la note. La dernière version est buguée. Impossible de chercher des aliments de corriger des erreurs de saisie. Retours constants au début. Graphiques comportant des erreurs. Etc...,2,0,1,0,0
Bonjour savez vous comment modifier la voix de Samsung healf car quand elle parle je ne comprend rien elle va tellement vite impossible de savoir ce qu'elle dit. Merci,4,0,0,1,0
Très bonne travail merci beaucoup pour votre soutien,5,1,0,0,0
Genial,4,1,0,0,0
Données perdues avec la maj. Merci rrrrrrrhhhhhh,1,0,1,0,0
"Très bon appli, découverte sur le tard car présente ds mon j3 depuis l'achat lol c'est assez complet pour compter ses calories et surtout doser ses macros, on a parfois des surprises. par contre moi je fais de la plateforme vibrante et ça n'existe pas ds l'onglet ""exercice"" qui est assez incomplet, manque beaucoup de mouvements. le compteur de pas est bien mais il faut sans cesse avoir son tel sur soi(pendanr le ménage par exemple), pas pratique voir difficile si on n'a pas de poche!",4,1,0,1,1
Ne fonctionne plus depuis la nouvelle mise à jour avec Android honor code erreur ( 0x2A#0),1,0,1,0,0
"bonne appli même si le nombre de pas n'est pas toujours juste. pour le calcul des calories, il n'y a pas que les marques qui comptent, le fait maison aussi...",3,1,1,1,0
J'apprécie l'application mais le constat que je fais et que seules la course et la marche sont prises en compte dans les defis. Je souhaite que les autres équipements soient pris en compte.,4,0,0,1,0
L'application s'arrête quand je marche elle bugue je ne comprends pas une mise à jour est nécessaire. Merci Elle ne marche pas u e nouvelle mise à jour est nécessaire Merci,1,0,1,0,0
Je recommende,5,1,0,0,0
Le point GPS n'est pas du tout exact et donne plus de km que le réel !,3,0,1,0,0
"pas d'option pour pouvoir garder l'ecran allumé pendant un entrainement ou d'avoir les infos temps, frequence cardiaque sur l'ecran always on.",3,0,0,1,0
Bonjour depuis hier je n'arrive pas à avoir accès à samsung health quand je veux me connecter il me demande un code de sécurité pour la connexion et ne fonctionne pas car la connexion ne se fait pas et tourne dans le vide si vous pouvez m'aider en me contactant je vous remercie.,2,0,1,0,0
good,4,1,0,0,0
Améliorer,5,1,0,0,0
Cet application est impeccable,5,1,0,0,0
"Dommage on ne peut pas récupérer ses runs et ses pas en changeant de 
téléphone seulement son profil",1,0,0,1,0
trop bien,4,1,0,0,0
Génial,5,1,0,0,0
"J'adorais cette appli comme tout le monde, mais les dernières mises à jour se permettent une inclusion ds la vie privée inacceptable, accès appels, contact, géolocalisation.. si cela n'est pas revu, je boycotte non seulement l'appli mais samsung. C'est aberrant. Dans l'attente d'une réponse.",1,1,0,1,1
"Très bonne application pour suivre le nombre de pas, je m'en sers beaucoup pour les randonnées pour connaître le temps effectué lors d'un parcours, les calories perdues, le nombre de kilomètres parcourus et plein d'autres choses. Le seul défaut que je trouves c'est quand on rentre les données pour les repas, quand on cuisine maison, c'est un peu compliqué de connaitre le nombre de calories, de glucides, lipides...",4,0,0,1,1
C'est bon,4,1,0,0,0
Je l'utilise depuis 4 ans 😉 et je l'adore. Elle manque de nouveauté et de mise à jour et un thème nuit. Je recommande,4,1,0,1,0
Très belle application,4,1,0,0,0
les dėfis me font bouger d'avantage,5,0,0,0,1
"Ayant eu une Fitbit Blaze, je suis déçu de l'imprécision de cette application. Aussi j'ai fait un running d'1h qui équivaut à 10km réel... La Galaxy watch m'indique n'avoir effectué que 6,56km et courir à moins de 7km/h ce qui est totalement Faux... Du coup je n'utilise plus l'appli pour le sport j'ai conservé ma Blaze...",1,1,1,0,0
Complet. Ciblé. Simple d'utilisation. On frôle la perfection!,5,1,0,0,0
Trés bonne application pour savoir tout sur son corps,5,1,0,0,1
"Utilisateur de cette application depuis 3 ans, je l ai desinstalée car je ne suis pas d accord avec la nouvelle politique d autorisation",2,1,0,1,0
J'aimais beaucoup cette application jusqu'à sa dernière mise à jour qui devient intrusive et demande à accéder à des données personnelles non nécessaires. J'en trouverai donc une autre mais suis déçue !,1,1,0,1,0
Super appli,5,1,0,0,0
Excellent,5,1,0,0,0
pratique et stable,4,1,0,0,0
Ne perfectionnez pas trop vos applis. Ne dit-on pas que le mieux est l'ennemi du bien ? Personnellement je préférais avant la dernière mise à jour. Rappelez-vous que les humains ne sont pas des machines.,3,1,0,1,0
Abusé la nouvelle MAJ...,1,1,0,0,0
Ça compte plus les pas 😕Pourquoi sumsung healt ne se synchronise plus avec hydro coach😢,5,0,1,0,0
"application très complète, malheureusement elle souffre de nombreux ralentissement, mise à jour des statistiques très lente, rajout des aliments et autre entré très lent à s'afficher, améliorer la stabilité et le rapidité svp",3,1,0,1,0
parfaite,5,1,0,0,0
"Bonjour J'ai un Samsung S9 et j'ai un soucis avec Samsung Health il se mets en pause tres souvent, ce qui fausse les données Je le mets dans la poche de mon pantalon quand je marche et c'est pareil Quand je Prends ( reprendre ) il y a un ligne droite par rapport au Point GPS (dirais-je) Ma version est 6.8.5.009 La sensibilité au mouvement semble très faible Avez vous une solution ? Merci Patrick",2,0,1,0,0
"Gestion de poids a été supprimé, c'était la chose plus efficace pour gerer notre activité a nos consommations alimentaires... pourquoi avoir supprimé cette catégorie de l'app??",1,0,0,1,0
"C'est le meilleur appli que j'ai jamais eu il me pousse à dépasser mes 
limite",5,1,0,0,1
"Formidable expérience, faire du sport est essentiel et cette application le facilite énormément.",5,1,0,0,1
Très bien,5,1,0,0,0
Je vous la conseille vraiment 😉,5,1,0,0,0
10-Oct,5,1,0,0,0
"Excellente application, fiable et très complète. Le partenaire idéal pour 
un régime suivi et un bon aperçu des données sportives. Je recommande.",5,1,0,0,1
"12/2018 Geolocalisation obligatoire, samsung fait du big data. Si je n'ai pas envie ? Je la revends ! 08 2018 Vraiment pénible de ne pas pouvoir modifier le nombre de km ou le temps réalisés. Par exemple mon compteur vélo est plus précis que le gps du téléphone ou de la montre, et je suis obligé de supprimer l'entrainement pour en créer un nouveau avec le bon nombre de km et le temps. Et toujours pas de possibilité d'export de la trace gps ou au moins de revoir le tracé après l'entraînement.",1,0,0,1,1
Cette appli est géniale. En revanche dans les défis partagés les utilisateurs trichent et sont à 200000 pas quelques heures après le démarrage du défis. Donc impossible de passer premier :( et d'obtenir les badges spéciaux...,3,1,1,0,0
Le système de guidage est maintenant en anglais et impossible a changer en Français il n'y a pas de solution proposé.pff dommage j'aimais bien cette appli,1,1,1,0,0
Très bien,5,1,0,0,0
Montre samsung oblige bonne apli je conseil,4,0,0,0,1
Super appli,5,1,0,0,0
Bonne application très complète mais il est dommage que les vidéos des exercices ne s'affichent pas en plen écran,5,1,0,1,0
"L'appli reste bien mais je regrète quand même la disparition du suivi café, et la lenteur de chargement des résultats/suivis. Ça rame bien depuis le changement de visuel :/",3,1,0,1,1
"Je m'en sers tous les jours pour marcher courir, tenir à jour ma glycémie, 
mes calories... Bref j'adore",5,1,0,0,1
